,Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,LtdHeight,AllZoning1,AllZoning2,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltCode,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,Version
51-53 Van Duzer Street,SI,498,27,501,21,2007,31,49,10301,L077,120,500,5,1,1D,51 VAN DUZER STREET,R3-2,,,,C1-2,,SG,,,C1-2/R3-2/SG,,N,M1,8,0,P,BETHEL A M E CH,5000,3128,3128,0,0,0,0,0,0,3128,2,1,1,0,1,50,100,24,76,,2,N,5,2,29250,97650,29250,97650,1931,E,1985,0,,,0.63,0.6,0,1,5,5004980027,0,21,962843,171274,21c,,501 014,50301,,0,,1,16v1
2135-37 Third Ave,MN,1666,47,111,188,3000,4,8,10035,L026,25,2100,1,11,2B,2135 3 AVENUE,C4-4D,,,,,,,,,C4-4D,,N,M1,8,0,,FIRST PENTACOSTAL CHU,2871,10209,10209,0,0,0,0,0,0,10209,2,1,5,0,1,38.25,79.75,38,73,,3,N,5,2,42300,144900,0,0,1900,E,1987,0,,,3.56,6.02,3.4,6.5,1,1016660047,0,188,1001028,230125,6b,,108N075,10604,,0,,1,16v1
211 South 4th Street,BK,2433,1,301,523,2001,14,34,11211,L104,90,600,3,1,2B,211 SOUTH 4 STREET,R6,,,,C1-3,C2-3,,,,C1-3/R6,,Y,I9,8,0,,SOUTH SIDE UNITED HSG,8270,8300,8300,0,0,0,0,0,0,8300,2,1,3,0,1,62,118.75,55,116,,0,Y,3,5,77850,649350,0,0,1960,E,0,0,,,1,2.43,0,4.8,3,3024330001,0,523,995466,198297,12d,,303 010,30806,,0,,1,16v1
111-113 Vermilyea Avenue,MN,2226,7,112,293,3001,6,10,10034,E095,34,110,1,12,4A,111 VERMILYEA AVENUE,R7-2,,,,,,,,,R7-2,,N,M1,8,0,X,GREATER NEW YORK CORP,7500,9744,9744,0,0,0,0,0,0,9744,2,2,3,0,1,50,150,45,123,,2,N,5,2,110700,464400,110700,464400,1940,E,1989,1992,,,1.3,3.44,0,6.5,1,1022260007,0,293,1005928,254811,3a,,112 058,10804,,0,,1,16v1
59-61 W. 137th St.,MN,1735,10,110,212,1001,5,9,10037,E059,32,1300,1,10,3B,59 WEST 137 STREET,R7-2,,,,,,,,,R7-2,,N,M1,8,0,X,CHUR EXTEN COMM PRESB,4996,4993,4993,0,0,0,0,0,0,4993,2,1,3,0,1,50,99.92,50,84,,2,N,5,2,69750,177300,69750,177300,1910,,1989,0,,,1,3.44,0,6.5,1,1017350010,0,212,1001184,236280,6a,,111S027,10607,,0,,1,16v1
1720 Ave J,BK,6719,37,314,532,2003,22,44,11230,L156,70,7310,3,14,4D,1720 AVENUE J,R2,,,,,,,,,R2,,N,W2,8,0,X,KNESSETH BAIS YAAKOV,5000,13743,13743,0,0,0,0,0,0,13743,2,1,3,0,1,50,100,26,44,,1,N,3,0,116550,1833300,116550,1833300,2005,,0,0,,,2.75,0.5,0,1,3,3067190037,0,532,995716,167062,22d,,313 028,32006,,0,,1,16v1
375 Beach 92nd Street,QN,16109,43,414,942.02,2013,27,32,11693,E266,100,3700,4,14,2C,375 BEACH 92 STREET,R4-1,,,,,,,,,R4-1,,N,K2,5,0,,THAI ROCK HOLDINGS LL,5637,2066,2066,0,0,2066,0,0,0,0,2,2,2.5,0,3,36,159,21,48,,1,N,2,0,45900,145800,0,0,1910,E,0,0,,,0.37,0.9,0,2,4,4161090043,0,94202,1034961,153961,30c,,421 002,46202,,0,,1,16v1
157 St. Pauls Place,BK,5080,50,314,508.01,1001,17,40,11226,L147,70,5320,3,14,1B,157 ST PAULS PLACE,R7A,,,,C2-4,,,,,C2-4/R7A,,N,M1,8,0,X,ST PAULS P E CH,23500,28498,28498,0,0,0,0,0,0,28498,2,1,1,0,0,84.17,283.17,82,128,,0,Y,3,5,414000,1460700,414000,1460700,1920,E,0,0,,,1.21,4,0,4,3,3050800050,0,50801,994739,176202,16d,,310A060,31602,,0,,1,16v1
2115 Albermarle Terrace,BK,5102,117,314,510.02,1002,22,40,11226,L147,70,7210,3,14,1B,2115 ALBEMARLE TERRACE,R5B,,,,,,,,,R5B,,N,A9,1,0,X,ST PAULS CH OF FLATBU,1575,1995,0,1995,0,0,0,0,0,0,2,1,3,1,1,17.5,90,17.5,38,,3,N,5,2,5556,31748,5556,31748,1917,E,0,0,Albemarle-Kenmore Terraces,,1.27,1.35,0,2,3,3051020117,0,51002,995576,175658,22c,,310 006,31602,,0,,1,16v1
161 E 104th Street,MN,1632,26,111,166,1000,4,8,10029,E053,23,2810,1,11,1A,161 EAST 104 STREET,R7B,,,,,,,,,R7B,,N,M9,8,0,,CHURCH OF LIVING HOPE,2523,6095,6095,0,0,0,0,0,0,6095,2,1,4,0,1,25,100.92,25,64,,3,N,5,2,62550,152100,59425,145138,1910,E,1986,0,,,2.42,3,0,3,1,1016320026,0,166,999071,227417,6b,,108N051,10603,,0,,1,16v1
